年份,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,卡尔玛比率,总交易次数,胜率,盈亏比,params
2005,-0.011659517308504896,-0.013779587125877901,0.0397685487651824,-0.34649459318319437,0.04354435389020463,2005-02-25,2005-06-03,-0.3164494565844882,213.0,0.431924882629108,0.9358558713880172,ma10diff
2006,0.16411054826054716,0.17221266410168856,0.04304648418965226,4.000620894913549,0.02852495730992532,2006-07-03,2006-08-07,6.037262816227486,241.0,0.5767634854771784,1.900023228327395,ma10diff
2007,0.2088510530868406,0.21836279236023115,0.0730939677126331,2.9874256274979953,0.04096442266586292,2007-10-16,2007-11-28,5.330547293229656,242.0,0.5909090909090909,1.5500604860531293,ma10diff
2008,-0.18444668234727934,-0.18849227158930026,0.11246755285015578,-1.6759702404162267,0.20719880699116247,2008-01-14,2008-10-27,-0.9097169734058358,246.0,0.42276422764227645,0.7224847044933461,ma10diff
2009,0.13469705469577975,0.13940801330019292,0.0702630110769087,1.9840882302581548,0.06859353865793397,2009-08-03,2009-08-31,2.0323782097815433,244.0,0.569672131147541,1.3730787675112266,ma10diff
2010,-0.0478950355657094,-0.049824041832927435,0.05276571622547714,-0.9442502707633226,0.0628104240542367,2010-01-05,2010-07-05,-0.7932447930920583,242.0,0.45867768595041325,0.8469067017629835,ma10diff
2011,-0.03586397905705552,-0.03701781389529368,0.04198743888691967,-0.8816401970834622,0.05701338816327168,2011-04-13,2011-12-27,-0.6492828279084938,244.0,0.45491803278688525,0.8580485629938139,ma10diff
2012,0.03180275055593862,0.03299985856837262,0.038884228432725,0.8486694965663741,0.03892261359179806,2012-05-04,2012-12-03,0.8478325457395928,243.0,0.48148148148148145,1.159226625437873,ma10diff
2013,-0.029112491240729788,-0.03079835230573924,0.05162420523475424,-0.5965874373404454,0.059336342020997225,2013-02-06,2013-06-26,-0.5190470335168402,238.0,0.453781512605042,0.8933245997321739,ma10diff
2014,0.09908873317475697,0.10205969725510466,0.04138868896229548,2.465883791295724,0.019900982831424496,2014-01-02,2014-03-10,5.128374719963482,245.0,0.49387755102040815,1.5493778146946289,ma10diff
2015,0.008636239984844085,0.008920654680510953,0.0965104237907236,0.09243203303981751,0.12163951311142154,2015-06-08,2015-08-25,0.07333681673273101,244.0,0.47950819672131145,1.0183744953288387,ma10diff
2016,0.004684628064337781,0.00483859342905113,0.040639128396725795,0.11906243120708673,0.040468067091532826,2016-01-06,2016-01-28,0.11956571629939582,244.0,0.4918032786885246,1.0244193538886766,ma10diff
2017,0.045921731232628105,0.04746254881799805,0.02369375653585451,2.003166899523741,0.016276353513752267,2017-11-22,2017-12-15,2.9160431283269834,244.0,0.5204918032786885,1.3913379772783232,ma10diff
2018,-0.040777457736989375,-0.04208589306495647,0.04643771976965121,-0.9062868132569502,0.05840357213600531,2018-02-05,2018-12-26,-0.7206047768268419,244.0,0.48360655737704916,0.8544635375985696,ma10diff
2019,0.06821804554735089,0.07023405179141506,0.039103970106946044,1.7960849396961711,0.024758439515897238,2019-04-19,2019-05-09,2.836772153847508,245.0,0.5102040816326531,1.3800453035583855,ma10diff
2020,0.039836759366571606,0.04134228937281326,0.04728961263278358,0.8742361603561258,0.037445329220413825,2020-01-13,2020-03-23,1.1040706607080637,243.0,0.5102880658436214,1.1772102176065784,ma10diff
2021,-0.01645790188345375,-0.017062224351584998,0.040015324661149605,-0.42639225087058974,0.04653506995454943,2021-02-10,2021-08-20,-0.3666530289575064,243.0,0.49794238683127573,0.9307087520564686,ma10diff
2022,-0.03412842410161809,-0.03551335210537665,0.045297312454844973,-0.784005720886387,0.0621395147237368,2022-01-04,2022-10-31,-0.571509968548416,242.0,0.44214876033057854,0.8671140735826004,ma10diff
2023,3.138243886069425e-05,0.00015209330546506195,0.03058369034561762,0.004973020055666879,0.016572487153113966,2023-01-30,2023-03-20,0.0091774580399348,52.0,0.5,1.0008011459591735,ma10diff
样本内,0.3233323696654793,0.0247640909310316,0.06382793748262419,0.38798200142019473,0.20937572295675824,2007-10-16,2008-10-27,0.11827584679502721,2886.0,0.49480249480249483,1.070921682961331,ma10diff
样本外,0.060365228903954016,0.009810252187001156,0.04083461209284215,0.24024355036595985,0.0956634936318335,2021-02-10,2022-10-31,0.1025495914330338,1513.0,0.4963648380700595,1.0423508007843931,ma10diff
总体,0.4057262539889348,0.019700436602360094,0.05697446220895924,0.3457766135660373,0.20937572295675824,2007-10-16,2008-10-27,0.0940913126133003,4399.0,0.4955671743578086,1.0629168677686571,ma10diff
2005,-0.017067948539167932,-0.020161365233880124,0.048591970937790524,-0.41491145234037835,0.04353520858179075,2005-02-25,2005-06-15,-0.46310482688976745,213.0,0.43661971830985913,0.917627426992199,ma20diff
2006,0.27421063740855245,0.2883823534660872,0.08214639138911317,3.5105906490775736,0.04183467345719019,2006-05-15,2006-08-14,6.893381246567911,241.0,0.5767634854771784,1.89437690189213,ma20diff
2007,0.21009150370810148,0.21966469256301635,0.10380929437553363,2.1160407060313107,0.05751651024579872,2007-01-29,2007-03-05,3.819158909750817,242.0,0.5950413223140496,1.4282920216052852,ma20diff
2008,-0.1916793645555751,-0.19586380791806024,0.07956115419408834,-2.4618019924679975,0.20757555544888437,2008-01-14,2008-12-31,-0.9435783876116947,246.0,0.4349593495934959,0.5688175006781511,ma20diff
2009,0.15373221063011266,0.1591542924875251,0.07512453014112226,2.1185396060188597,0.04838871043538263,2009-07-27,2009-09-28,3.2890790239193657,244.0,0.5532786885245902,1.3917311658106881,ma20diff
2010,-0.026873510861945005,-0.027968313531864353,0.050516505718336456,-0.5536470334628159,0.059914556596029615,2010-01-05,2010-07-05,-0.4668033132655736,242.0,0.45041322314049587,0.8974221183122866,ma20diff
2011,-0.04782035168689647,-0.0493489032744554,0.037691532925202005,-1.3092835298682912,0.06371369923539083,2011-04-13,2011-12-27,-0.7745414858449113,244.0,0.45491803278688525,0.7897567083795354,ma20diff
2012,0.038456411869947305,0.03990878059101477,0.043827284518107176,0.9105921352377311,0.0472856908861866,2012-05-04,2012-12-03,0.8439927564360317,243.0,0.48148148148148145,1.1865857796019144,ma20diff
2013,-0.041965041986991025,-0.04437799391024699,0.04656860267910417,-0.9529595340458835,0.07034133523802978,2013-02-06,2013-12-26,-0.630894960410905,238.0,0.4495798319327731,0.8324386806387718,ma20diff
2014,0.18733084870993744,0.19317013120822768,0.09231361673216672,2.0925421194218843,0.042170110686241435,2014-12-08,2014-12-09,4.580735693237154,245.0,0.49387755102040815,1.6833163591823133,ma20diff
2015,-0.07567161425453461,-0.0780532435394119,0.0923568440237517,-0.8451267944943929,0.14079761903534943,2015-04-27,2015-09-29,-0.5543647973181665,244.0,0.4672131147540984,0.8382481149722439,ma20diff
2016,0.010995961147184596,0.011358524383793034,0.03484808051230533,0.32594404675408695,0.023254592909021172,2016-01-06,2016-02-29,0.48844219411756346,244.0,0.48360655737704916,1.0668256305316646,ma20diff
2017,0.04619938295690251,0.04774972756528095,0.02773754147499586,1.7214837734744868,0.02216695072826266,2017-11-22,2017-12-27,2.154095443736449,244.0,0.5204918032786885,1.345485648461977,ma20diff
2018,-0.06304205359283754,-0.06504030585386167,0.04207901710765741,-1.5456707481417344,0.08715604982039163,2018-01-23,2018-12-26,-0.7462511895375551,244.0,0.47950819672131145,0.7489083283882404,ma20diff
2019,0.0684426156386817,0.07046547479762832,0.05014265985213977,1.4052998984381022,0.026190622174656716,2019-04-19,2019-05-23,2.690484950212983,245.0,0.5061224489795918,1.3325963889288932,ma20diff
2020,0.02141081341362483,0.022212550358761574,0.05983591033973531,0.37122440742763896,0.036526234878661135,2020-01-02,2020-04-01,0.6081259246278978,243.0,0.5020576131687243,1.0855460929910703,ma20diff
2021,-0.034770935903659206,-0.03603526623493958,0.03891628764290747,-0.9259687502979755,0.06231038117970309,2021-02-10,2021-11-30,-0.5783188218832092,243.0,0.48559670781893005,0.8461860807632493,ma20diff
2022,-0.047052836867858217,-0.048948802385736956,0.0348972440244732,-1.4026552455377133,0.05864695393378838,2022-01-04,2022-11-03,-0.8346350339183769,242.0,0.4380165289256198,0.7789697942973156,ma20diff
2023,0.0013573575499752355,0.006595156114308276,0.031141736439933943,0.2117786889317809,0.019103013955811557,2023-01-16,2023-03-20,0.34524165294355996,52.0,0.5,1.035630207838899,ma20diff
样本内,0.4584874105400223,0.03350282704515628,0.07044531285510444,0.47558631919296923,0.21736289081412655,2007-10-16,2009-01-13,0.1541331499579914,2886.0,0.4923769923769924,1.0923217870362565,ma20diff
样本外,-0.011306538958273382,-0.0018921124106294762,0.04323411416906163,-0.043764338578341305,0.11439410857152242,2021-02-10,2022-11-03,-0.01654029594930122,1513.0,0.4910773298083278,0.9917200634494358,ma20diff
总体,0.44404037055176726,0.02127246150169393,0.06244301871615674,0.3406699730259808,0.21736289081412655,2007-10-16,2009-01-13,0.09786611422961172,4399.0,0.4921573084791998,1.063793168279381,ma20diff
2005,-0.01622328935472972,-0.01916511676764221,0.047720095479731904,-0.4016152225802269,0.04520224381327532,2005-04-13,2005-06-03,-0.4239859606706882,213.0,0.431924882629108,0.919761233820011,ma20
2006,0.3973633685801454,0.41886714158269966,0.10436511968283467,4.013478285232037,0.05550131136488554,2006-07-03,2006-08-07,7.5469773827309545,241.0,0.5767634854771784,2.010242220562466,ma20
2007,0.8801296930571814,0.9298247994198803,0.284059113644727,3.2733496471541237,0.14382387776983116,2007-10-16,2007-11-28,6.465023846095481,242.0,0.5909090909090909,1.4377149704810435,ma20
2008,-0.24382911957100584,-0.2489662393613482,0.13526525547825172,-1.8405778962312878,0.2740775384962825,2008-01-14,2008-10-27,-0.9083788504789315,246.0,0.4105691056910569,0.6319301720256035,ma20
2009,0.036929953605599364,0.03816359248500967,0.0569962155698561,0.6695811661080434,0.0768246499242184,2009-08-03,2009-08-31,0.49676233504031725,244.0,0.5573770491803278,1.1391823703248518,ma20
2010,-0.05239879500838551,-0.054503947042854994,0.03491109285774627,-1.5612214508707754,0.05649712529712844,2010-01-05,2010-12-30,-0.9647207137745334,242.0,0.45867768595041325,0.7460841767183866,ma20
2011,-0.015954463322337076,-0.016473228454214617,0.015682965166915072,-1.0503899153564844,0.024918694713082955,2011-04-13,2011-12-15,-0.6610791072281065,244.0,0.45491803278688525,0.8259877131369961,ma20
2012,-0.005459895645484103,-0.005661540505005669,0.004962814138263979,-1.140792370472715,0.008078648222694981,2012-03-02,2012-12-20,-0.7008029498178865,243.0,0.46502057613168724,0.792233217623467,ma20
2013,-0.01552139821142584,-0.01642688231880729,0.01339393535896585,-1.2264418095620566,0.023084318440650876,2013-02-06,2013-12-31,-0.7116035225835381,238.0,0.47058823529411764,0.736248563853517,ma20
2014,0.034541043436763674,0.03554526860906404,0.02062869494165854,1.7230982720716028,0.011170779699709768,2014-12-22,2014-12-24,3.181986357674528,245.0,0.5346938775510204,1.7279878320091078,ma20
2015,-0.05127891441401189,-0.052914914769532695,0.14648261632803328,-0.3612368217880202,0.1901759121348963,2015-06-08,2015-08-25,-0.2782419401885076,244.0,0.47950819672131145,0.9308118426407118,ma20
2016,-0.011663034417646934,-0.012043117225400524,0.032878603401848255,-0.36629041319691596,0.03706319325714379,2016-01-06,2016-01-28,-0.32493469037720485,244.0,0.4918032786885246,0.9270577884045187,ma20
2017,0.05870957833675572,0.06069176654474551,0.03760341403610268,1.613996178285193,0.033132891870722186,2017-11-22,2017-12-15,1.8317678632324776,244.0,0.5204918032786885,1.3259011823555527,ma20
2018,-0.07219918175319395,-0.07447598119952614,0.06716605406738371,-1.1088336546435915,0.10584558173544106,2018-02-05,2018-12-26,-0.7036286255734073,244.0,0.48360655737704916,0.820165428627242,ma20
